City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (°C)
188,worland,44.0169,-107.9554,308.52,15,0,4.12,US,1692322072,35.370000000000005
189,altay,47.8667,88.1167,289.19,47,0,0.96,CN,1692322073,16.04000000000002
190,paita,-5.0892,-81.1144,294.33,77,0,7.81,PE,1692322073,21.180000000000007
191,al matlin,37.2452,10.05,294.92,57,0,4.01,TN,1692322074,21.77000000000004
192,irymple,-34.25,142.1667,285.42,75,12,1.34,AU,1692322074,12.270000000000039
193,tyukhtet,56.5389,89.3011,283.56,98,100,3.69,RU,1692322074,10.410000000000025
194,halifax,44.6453,-63.5724,292.86,93,100,6.17,CA,1692321997,19.710000000000036
195,pinotepa nacional,16.3167,-98.0167,299.44,76,67,1.64,MX,1692322075,26.29000000000002
196,bantay,17.5847,120.3892,302.09,75,100,4.04,PH,1692322076,28.939999999999998
197,trincomalee,8.5711,81.2335,300.2,78,100,9.16,LK,1692322076,27.05000000000001
198,port alfred,-33.5906,26.891,283.81,85,3,1.34,ZA,1692322076,10.660000000000025
199,the bottom,17.6259,-63.2492,300.22,84,93,10.53,BQ,1692322077,27.07000000000005
200,karonga,-9.9333,33.9333,293.59,70,5,1.78,MW,1692322077,20.439999999999998
201,itamaraca,-7.7478,-34.8256,296.18,86,61,4.27,BR,1692322078,23.03000000000003
202,howrah,22.5892,88.3103,301.15,89,75,4.12,IN,1692322078,28.0
203,nizhnesortymskiy,62.4397,71.7603,287.19,70,100,2.76,RU,1692322079,14.04000000000002
204,tremp,42.167,0.8949,297.87,55,27,2.26,ES,1692322079,24.720000000000027
205,tarashcha,49.5583,30.4926,289.71,69,0,2.26,UA,1692322080,16.560000000000002
206,ta`u,-14.2336,-169.5144,300.56,81,28,8.44,AS,1692322081,27.410000000000025
207,vytegra,61.0064,36.4481,288.23,97,42,2.77,RU,1692322082,15.080000000000041
208,vorgashor,67.5833,63.95,285.52,91,100,2.34,RU,1692322083,12.370000000000005
209,kenai,60.5544,-151.2583,291.2,75,0,3.6,US,1692322084,18.05000000000001
210,nagqu,31.5,92.0,281.29,70,100,1.84,CN,1692322084,8.140000000000043
211,fale old settlement,-9.3852,-171.2468,301.47,76,95,8.95,TK,1692322085,28.32000000000005
212,lucapa,-8.4192,20.7447,294.65,31,3,1.13,AO,1692322085,21.5
213,puerto princesa,9.7392,118.7353,302.14,74,40,2.06,PH,1692322086,28.99000000000001
214,ibipeba,-11.6408,-42.0111,292.78,75,0,3.28,BR,1692322086,19.629999999999995
215,salinopolis,-0.6136,-47.3561,299.64,84,49,5.13,BR,1692322087,26.49000000000001
216,franklin,39.9667,-83.0166,293.04,94,40,7.2,US,1692322087,19.890000000000043
217,mount gambier,-37.8333,140.7667,284.36,58,35,5.86,AU,1692321859,11.210000000000036
218,keflavik,64.0049,-22.5624,286.1,94,75,6.17,IS,1692322088,12.950000000000045
219,homer,59.6425,-151.5483,290.08,76,0,6.17,US,1692322089,16.930000000000007
220,sao jose da coroa grande,-8.8978,-35.1478,296.73,86,62,4.26,BR,1692322089,23.58000000000004
221,ardestan,33.3761,52.3694,296.03,12,0,1.45,IR,1692322090,22.879999999999995
222,adrar,20.5022,-10.0711,305.26,41,82,5.06,MR,1692322091,32.110000000000014
223,cova figueira,14.8905,-24.2934,297.8,84,87,2.51,CV,1692322092,24.650000000000034
224,pisco,-13.7,-76.2167,292.18,77,100,5.66,PE,1692322092,19.03000000000003
225,manda,-10.4667,34.5833,293.66,70,0,3.49,TZ,1692322093,20.510000000000048
226,selfoss,63.9331,-20.9971,285.4,93,100,3.2,IS,1692322093,12.25
227,bryne,58.7354,5.6477,288.12,93,0,1.03,NO,1692322094,14.970000000000027
228,bredasdorp,-34.5322,20.0403,281.43,91,0,3.49,ZA,1692322095,8.28000000000003
229,katsuura,35.1333,140.3,303.16,77,0,5.1,JP,1692322095,30.010000000000048
230,yanjiang,30.1211,104.6481,299.76,85,100,0.85,CN,1692322095,26.610000000000014
231,mercedes,-34.6515,-59.4307,289.18,98,100,4.53,AR,1692321812,16.03000000000003
232,kailua-kona,19.6406,-155.9956,302.13,80,100,5.66,US,1692322097,28.980000000000018
233,arraial do cabo,-22.9661,-42.0278,294.02,85,0,11.79,BR,1692322097,20.870000000000005
234,labytnangi,66.6572,66.4183,287.98,85,100,1.47,RU,1692322097,14.830000000000041
235,castlegar,49.2998,-117.6689,308.31,19,87,3.22,CA,1692322098,35.160000000000025
236,lata,40.1629,-8.3327,291.99,97,45,0.24,PT,1692322099,18.840000000000032
237,tazacorte,28.629,-17.9293,295.69,92,0,4.63,ES,1692322099,22.54000000000002
238,plastun,44.7561,136.2939,300.93,66,36,0.4,RU,1692322100,27.78000000000003
239,lobau,51.1,14.6667,293.71,92,20,1.7,DE,1692322100,20.560000000000002
240,pacific grove,36.6177,-121.9166,295.49,88,100,3.6,US,1692321991,22.340000000000032
241,uturoa,-16.7333,-151.4333,298.36,76,69,10.04,PF,1692322101,25.210000000000036
242,chonchi,-42.6128,-73.8092,277.1,93,100,1.49,CL,1692322102,3.9500000000000455
243,carnot,4.9409,15.8665,294.14,96,100,0.96,CF,1692322103,20.99000000000001
244,withernsea,53.7311,0.0335,289.29,75,100,7.02,GB,1692322103,16.140000000000043
245,aljezur,37.3191,-8.8033,291.59,97,98,2.85,PT,1692322104,18.439999999999998
246,beloyarskiy,63.7119,66.6722,288.36,88,100,1.13,RU,1692322104,15.210000000000036
247,luanda,-8.8368,13.2343,293.15,94,100,1.03,AO,1692321960,20.0
248,solnechnyy,50.7214,136.6319,298.94,55,69,1.49,RU,1692322106,25.79000000000002
249,tosontsengel,48.7567,98.2839,281.54,66,0,1.6,MN,1692322106,8.390000000000043
250,vorkuta,67.5,64.0,285.7,91,100,2.33,RU,1692322107,12.550000000000011
251,alice springs,-23.7,133.8833,288.9,53,0,25.48,AU,1692321976,15.75
252,san fernando,15.0286,120.6898,304.0,72,5,1.17,PH,1692322107,30.850000000000023
253,punta cana,18.5818,-68.4043,301.02,89,40,2.06,DO,1692322108,27.870000000000005
254,papao,-17.75,-149.55,299.97,74,60,11.24,PF,1692322108,26.82000000000005
255,puerto aysen,-45.4,-72.7,276.67,97,100,1.19,CL,1692322109,3.5200000000000387
256,antalaha,-14.9003,50.2788,294.9,79,63,3.32,MG,1692322109,21.75
257,nar'yan-mar,67.6713,53.087,288.87,98,100,4.21,RU,1692322110,15.720000000000027
258,mejit,10.2753,170.8646,301.42,76,14,6.14,MH,1692322110,28.27000000000004
259,olyokminsk,60.3736,120.4264,295.03,60,100,5.14,RU,1692322111,21.879999999999995
260,nsanje,-16.92,35.262,290.83,94,6,1.25,MW,1692322111,17.680000000000007
261,constantia,44.1833,28.65,297.53,75,2,5.51,RO,1692322112,24.379999999999995
262,santa marta,11.2408,-74.199,303.18,70,40,3.09,CO,1692322112,30.03000000000003
263,lindi,-10.0,39.7167,292.42,97,17,1.73,TZ,1692322113,19.27000000000004
264,belvedere marittimo,39.6179,15.8617,293.21,86,11,0.5,IT,1692322113,20.060000000000002
265,mossel bay,-34.1831,22.146,284.11,69,7,3.95,ZA,1692322114,10.960000000000036
266,yuzhno-kurilsk,44.0306,145.8556,296.8,74,22,2.23,RU,1692322114,23.650000000000034
267,saint-philippe,-21.3585,55.7679,292.92,89,77,4.39,RE,1692322115,19.77000000000004
268,nemuro,43.3236,145.575,294.09,87,35,1.55,JP,1692322115,20.939999999999998
269,tlahualilo de zaragoza,26.1167,-103.45,306.58,19,2,4.42,MX,1692322116,33.43000000000001
270,manokwari,-0.8667,134.0833,299.75,80,100,0.81,ID,1692322116,26.600000000000023
271,mazagao,-0.115,-51.2894,302.18,76,95,2.91,BR,1692322117,29.03000000000003
272,minas de marcona,-15.2119,-75.1103,285.27,87,78,7.52,PE,1692322117,12.120000000000005
273,puerto san jose,13.9256,-90.8244,301.28,74,9,1.78,GT,1692322117,28.129999999999995
274,cabo san lucas,22.8909,-109.9124,306.21,65,75,3.09,MX,1692322064,33.06
275,igarka,67.4667,86.5833,284.42,71,5,3.2,RU,1692322118,11.270000000000039
276,al qubbah,32.7616,22.2424,292.98,92,8,7.0,LY,1692322119,19.83000000000004
277,lagoa,39.05,-27.9833,295.98,83,13,9.21,PT,1692322119,22.83000000000004
278,pandan,14.0453,124.1694,303.48,68,99,2.21,PH,1692322119,30.33000000000004
279,dolores,-36.3132,-57.6792,286.72,98,100,4.72,AR,1692322120,13.57000000000005
280,kirakira,-10.4544,161.9205,301.31,73,61,4.78,SB,1692322120,28.160000000000025
281,margate,51.3813,1.3862,292.54,91,39,1.79,GB,1692321866,19.390000000000043
282,pelabuhanratu,-6.9875,106.5514,297.54,75,52,2.04,ID,1692322121,24.390000000000043
283,buenaventura,3.8801,-77.0312,298.05,93,71,0.79,CO,1692322122,24.900000000000034
284,keningau,5.3378,116.1602,298.53,87,88,0.54,MY,1692322123,25.379999999999995
285,weno,7.4515,151.8468,304.12,74,75,2.57,FM,1692322123,30.970000000000027
286,lompoc,34.6391,-120.4579,300.94,80,100,3.58,US,1692322124,27.79000000000002
287,illapel,-31.6308,-71.1653,285.92,90,100,0.81,CL,1692322124,12.770000000000039
288,karasuk,53.7377,78.0403,285.48,72,8,1.76,RU,1692322124,12.330000000000041
289,teluk nibung,3.001,99.8164,298.45,87,100,1.11,ID,1692322125,25.30000000000001
290,katsuren-haebaru,26.3369,127.8719,302.58,81,40,2.57,JP,1692322125,29.430000000000007
291,santa elena de uairen,4.6167,-61.1333,293.72,90,100,0.58,VE,1692322126,20.57000000000005
292,haiku-pauwela,20.9219,-156.3051,302.88,60,7,5.81,US,1692322126,29.730000000000018
293,twentynine palms,34.1356,-116.0542,313.78,16,19,3.13,US,1692321961,40.629999999999995
294,dawei,14.0833,98.2,298.53,88,96,0.71,MM,1692322127,25.379999999999995
295,palikir - national government center,6.9248,158.1611,302.62,79,75,2.06,FM,1692322127,29.470000000000027
296,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,100,75,2.0,RU,1692322128,18.33000000000004
297,crane,31.3974,-102.3501,310.06,14,3,6.17,US,1692322128,36.910000000000025
298,arvayheer,46.2639,102.775,285.96,37,0,2.78,MN,1692322128,12.810000000000002
299,sferracavallo,42.726,12.0956,296.94,71,0,0.9,IT,1692322129,23.79000000000002
